census_distr,paper_distr,new_distr
"Almora
",Almora,Almora
Badgam,Budgam,Badgam
Leh(Ladakh),Leh,Leh
Punch,Poonch,Punch
Baramula,Baramulla,Baramulla
Bandipore,Bandipora,Bandipore
Shupiyan,Shopian,Shupiyan
Lahul & Spiti,Lahaul and Spiti,Lahaul and Spiti
Shahid Bhagat Singh Nagar,Nawanshahr,Shahid Bhagat Singh Nagar
Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar Mohali,Sahibzada Ajit Singh Nagar
Hardwar,Haridwar,Hardwar
Jhunjhunun,Jhunjhunu,Jhunjhunu
Mahamaya Nagar,Hathras,Hathras
Bara Banki,Barabanki,Barabanki
Mahrajganj,Maharajganj,Maharajganj
Sant Ravidas Nagar (Bhadohi),Sant Ravidas Nagar Bhadohi,Sant Ravidas Nagar (Bhadohi)
Kaimur (Bhabua),Kaimur Bhabua,Kaimur (Bhabua)
North  District,North District,North District
Ribhoi,Ri Bhoi,Ri Bhoi
Dima Hasao,North Cachar Hills,Dima Hasao
Darjiling,Darjeeling,Darjeeling
Saraikela-Kharsawan,Saraikela Kharsawan,Saraikela-Kharsawan
Jagatsinghapur,Jagatsinghpur,Jagatsinghpur
Jajapur,Jajpur,Jajpur
Anugul,Angul,Anugul
Janjgir - Champa,Janjgir–Champa,Janjgir - Champa
Kabeerdham,Kabirdham,Kabirdham
Khargone (West Nimar),West Nimar,Khargone (West Nimar)
Khandwa (East Nimar),East Nimar,Khandwa (East Nimar)
Banas Kantha,Banaskantha,Banaskantha
Sabar Kantha,Sabarkantha,Sabarkantha
Ahmadabad,Ahmedabad,Ahmedabad
Dohad,Dahod,Dahod
Dadra & Nagar Haveli,Dadra and Nagar Haveli,Dadra & Nagar Haveli
Gondiya,Gondia,Gondia
Chikkaballapura,Chikkaballapur,Chikkaballapur
Thoothukkudi,Thoothukudi,Thoothukudi
Kanniyakumari,Kanyakumari,Kanyakumari
Nicobars,Nicobar,Nicobars
North  & Middle Andaman,North and Middle Andaman,North  & Middle Andaman
